# phase src dst weight
14 7 45 30.75000000
14 32 32 0.60000000
14 33 33 0.60000000
14 34 34 0.60000000
14 35 35 0.60000000
14 36 36 0.60000000
14 37 37 0.60000000
14 38 38 0.60000000
14 39 39 0.60000000
14 40 40 0.60000000
14 41 41 0.60000000
14 42 42 0.60000000
14 43 43 0.60000000
14 44 44 0.60000000
14 45 45 0.60000000
14 46 46 0.60000000
14 47 47 0.60000000
14 56 34 30.75000000
14 56 38 30.75000000
14 56 42 30.75000000
14 56 46 30.75000000
14 63 35 30.75000000
14 63 39 30.75000000
14 63 43 30.75000000
14 63 47 30.75000000
15 0 16 30.75000000
15 0 20 30.75000000
15 0 24 30.75000000
15 0 28 30.75000000
15 7 17 30.75000000
15 7 21 30.75000000
15 7 25 30.75000000
15 7 29 30.75000000
15 16 16 0.60000000
15 17 17 0.60000000
15 18 18 0.60000000
15 19 19 0.60000000
15 20 20 0.60000000
15 21 21 0.60000000
15 22 22 0.60000000
15 23 23 0.60000000
15 24 24 0.60000000
15 25 25 0.60000000
15 26 26 0.60000000
15 27 27 0.60000000
15 28 28 0.60000000
15 29 29 0.60000000
15 30 30 0.60000000
15 31 31 0.60000000
15 56 18 30.75000000
15 56 22 30.75000000
15 56 26 30.75000000
15 56 30 30.75000000
15 63 19 30.75000000
15 63 23 30.75000000
15 63 27 30.75000000
15 63 31 30.75000000
16 0 0 31.35000000
16 0 4 30.75000000
16 0 8 30.75000000
16 0 12 30.75000000
16 1 1 0.60000000
16 2 2 0.60000000
16 3 3 0.60000000
16 4 4 0.60000000
16 5 5 0.60000000
16 6 6 0.60000000
16 7 1 30.75000000
16 7 5 30.75000000
16 7 7 0.60000000
16 7 9 30.75000000
16 7 13 30.75000000
16 8 8 0.60000000
16 9 9 0.60000000
16 10 10 0.60000000
16 11 11 0.60000000
16 12 12 0.60000000
16 13 13 0.60000000
16 14 14 0.60000000
16 15 15 0.60000000
16 56 2 30.75000000
16 56 6 30.75000000
16 56 10 30.75000000
16 56 14 30.75000000
16 63 3 30.75000000
16 63 7 30.75000000
16 63 11 30.75000000
16 63 15 30.75000000
17 0 48 30.75000000
17 0 52 30.75000000
17 0 56 30.75000000
17 0 60 30.75000000
17 7 49 30.75000000
17 7 53 30.75000000
17 7 57 30.75000000
17 7 61 30.75000000
17 48 48 0.60000000
17 49 49 0.60000000
17 50 50 0.60000000
17 51 51 0.60000000
17 52 52 0.60000000
17 53 53 0.60000000
17 54 54 0.60000000
17 55 55 0.60000000
17 56 50 30.75000000
17 56 54 30.75000000
17 56 56 0.60000000
17 56 58 30.75000000
17 56 62 30.75000000
